listing_id,building,floor,rooms,area,price,status,url,area_m2,price_eur,price_per_m2
U94,U,9,2.0,"54,50 m²",283 114 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u94/,54.5,283114.0,5194.752293577982
U93,U,9,1.0,"30,91 m²",190 098 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u93/,30.91,190098.0,6150.048527984471
U92,U,9,1.0,"31,33 m²",-,Nedostupný,,31.33,,
U91,U,9,2.0,"51,25 m²",-,Nedostupný,,51.25,,
U88,U,8,3.0,"67,10 m²",-,Nedostupný,,67.1,,
U87,U,8,2.0,"47,42 m²",-,Predaný,,47.42,,
U86,U,8,1.0,"34,22 m²",-,Nedostupný,,34.22,,
U85,U,8,3.0,"64,99 m²",-,Predaný,,64.99,,
U84,U,8,2.0,"55,18 m²",-,Predaný,,55.18,,
U83,U,8,1.0,"31,07 m²",189 743 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u83/,31.07,189743.0,6106.952043772128
U82,U,8,1.0,"31,18 m²",-,Nedostupný,,31.18,,
U81,U,8,2.0,"51,60 m²",-,Nedostupný,,51.6,,
U78,U,7,3.0,"66,37 m²",-,Predaný,,66.37,,
U77,U,7,2.0,"47,42 m²",248 164 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u77/,47.42,248164.0,5233.319274567692
U76,U,7,1.0,"34,54 m²",-,Nedostupný,,34.54,,
U75,U,7,3.0,"65,21 m²",-,Predaný,,65.21,,
U74,U,7,2.0,"54,94 m²",-,Predaný,,54.94,,
U73,U,7,1.0,"31,33 m²",189 205 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u73/,31.33,189205.0,6039.099904245133
U72,U,7,1.0,"31,18 m²",-,Predaný,,31.18,,
U71,U,7,2.0,"51,84 m²",262 781 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u71/,51.84,262781.0,5069.077932098765
U68,U,6,3.0,"66,86 m²",-,Nedostupný,,66.86,,
U67,U,6,2.0,"47,75 m²",-,Predaný,,47.75,,
U66,U,6,1.0,"34,22 m²",190 214 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u66/,34.22,190214.0,5558.562244301578
U65,U,6,3.0,"64,46 m²",-,Predaný,,64.46,,
U64,U,6,2.0,"54,50 m²",-,Predaný,,54.5,,
U63,U,6,1.0,"31,33 m²",-,Nedostupný,,31.33,,
U62,U,6,1.0,"31,44 m²",-,Nedostupný,,31.44,,
U61,U,6,2.0,"51,13 m²",-,Nedostupný,,51.13,,
U58,U,5,3.0,"66,37 m²",-,Nedostupný,,66.37,,
U57,U,5,2.0,"47,42 m²",-,Nedostupný,,47.42,,
U56,U,5,1.0,"34,54 m²",-,Predaný,,34.54,,
U55,U,5,3.0,"65,21 m²",-,Predaný,,65.21,,
U54,U,5,2.0,"54,95 m²",-,Predaný,,54.95,,
U53,U,5,1.0,"31,33 m²",-,Predaný,,31.33,,
U52,U,5,1.0,"31,18 m²",-,Predaný,,31.18,,
U51,U,5,2.0,"51,84 m²",-,Nedostupný,,51.84,,
U48,U,4,3.0,"66,86 m²",-,Nedostupný,,66.86,,
U47,U,4,2.0,"47,75 m²",-,Predaný,,47.75,,
U46,U,4,1.0,"34,21 m²",-,Predaný,,34.21,,
U45,U,4,3.0,"101,07 m²",-,Predaný,,101.07,,
U44,U,4,2.0,"78,80 m²",-,Nedostupný,,78.8,,
U43,U,4,1.0,"31,43 m²",-,Predaný,,31.43,,
U42,U,4,1.0,"31,58 m²",-,Predaný,,31.58,,
U41,U,4,2.0,"51,13 m²",-,Predaný,,51.13,,
U314,U,3,3.0,"67,10 m²",-,Predaný,,67.1,,
U313,U,3,2.0,"47,81 m²",-,Predaný,,47.81,,
U312,U,3,1.0,"34,53 m²",-,Predaný,,34.53,,
U311,U,3,2.0,"58,85 m²",-,Nedostupný,,58.85,,
U310,U,3,1.0,"52,72 m²",-,Predaný,,52.72,,
U39,U,3,2.0,"45,64 m²",-,Predaný,,45.64,,
U38,U,3,2.0,"50,08 m²",-,Predaný,,50.08,,
U37,U,3,2.0,"53,17 m²",-,Predaný,,53.17,,
U36,U,3,2.0,"50,36 m²",-,Nedostupný,,50.36,,
U35,U,3,1.0,"31,55 m²",177 255 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u35/,31.55,177255.0,5618.225039619651
U34,U,3,2.0,"50,50 m²",-,Nedostupný,,50.5,,
U33,U,3,1.0,"31,18 m²",-,Predaný,,31.18,,
U32,U,3,1.0,"31,58 m²",-,Predaný,,31.58,,
U31,U,3,2.0,"51,13 m²",-,Predaný,,51.13,,
U214,U,2,3.0,"66,87 m²",-,Predaný,,66.87,,
U213,U,2,2.0,"47,42 m²",-,Predaný,,47.42,,
U212,U,2,1.0,"34,21 m²",-,Predaný,,34.21,,
U211,U,2,2.0,"58,85 m²",-,Nedostupný,,58.85,,
U210,U,2,1.0,"52,72 m²",-,Rezervovaný,,52.72,,
U29,U,2,2.0,"46,60 m²",-,Predaný,,46.6,,
U28,U,2,2.0,"49,96 m²",-,Nedostupný,,49.96,,
U27,U,2,2.0,"51,41 m²",253 786 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u27/,51.41,253786.0,4936.510406535694
U26,U,2,2.0,"51,20 m²",244 940 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u26/,51.2,244940.0,4783.984375
U25,U,2,1.0,"31,53 m²",-,Predaný,,31.53,,
U24,U,2,2.0,"49,17 m²",238 235 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u24/,49.17,238235.0,4845.129143786862
U23,U,2,1.0,"30,34 m²",-,Predaný,,30.34,,
U22,U,2,1.0,"30,49 m²",-,Predaný,,30.49,,
U21,U,2,2.0,"50,75 m²",-,Predaný,,50.75,,
U17,U,1,2.0,"49,49 m²",-,Nedostupný,,49.49,,
U16,U,1,2.0,"46,61 m²",-,Nedostupný,,46.61,,
U15,U,1,1.0,"52,59 m²",227 710 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u15/,52.59,227710.0,4329.910629397224
U14,U,1,2.0,"58,18 m²",-,Nedostupný,,58.18,,
U13,U,1,1.0,"34,18 m²",-,Nedostupný,,34.18,,
U12,U,1,2.0,"47,51 m²",-,Nedostupný,,47.51,,
U11,U,1,3.0,"66,11 m²",-,Nedostupný,,66.11,,
V186,V,18,5.0,"117,97 m²",555 100 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v186/,117.97,555100.0,4705.433584809697
V196,V,19,5.0,"116,39 m²",-,Nedostupný,,116.39,,
V195,V,19,4.0,"117,01 m²",570 726 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v195/,117.01,570726.0,4877.583112554482
V194,V,19,2.0,"47,67 m²",-,Nedostupný,,47.67,,
V193,V,19,4.0,"102,58 m²",-,Nedostupný,,102.58,,
V192,V,19,4.0,"100,19 m²",-,Nedostupný,,100.19,,
V191,V,19,4.0,"108,67 m²",-,Nedostupný,,108.67,,
V185,V,18,4.0,"118,59 m²",555 100 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v185/,118.59,555100.0,4680.833122522979
V184,V,18,2.0,"47,34 m²",-,Nedostupný,,47.34,,
V183,V,18,4.0,"102,67 m²",-,Predaný,,102.67,,
V182,V,18,4.0,"100,26 m²",-,Nedostupný,,100.26,,
V181,V,18,4.0,"107,49 m²",-,Nedostupný,,107.49,,
V175,V,17,4.0,"119,75 m²",-,Predaný,,119.75,,
V174,V,17,2.0,"47,30 m²",-,Nedostupný,,47.3,,
V173,V,17,4.0,"103,35 m²",-,Predaný,,103.35,,
V172,V,17,4.0,"100,67 m²",-,Nedostupný,,100.67,,
V171,V,17,4.0,"108,83 m²",-,Nedostupný,,108.83,,
V165,V,16,4.0,"118,37 m²",-,Predrezervovaný,,118.37,,
V164,V,16,2.0,"47,67 m²",-,Nedostupný,,47.67,,
V163,V,16,4.0,"103,14 m²",-,Predaný,,103.14,,
V162,V,16,4.0,"100,90 m²",-,Nedostupný,,100.9,,
V161,V,16,4.0,"107,50 m²",-,Nedostupný,,107.5,,
V158,V,15,3.0,"66,09 m²",324 440 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v158/,66.09,324440.0,4909.063398396126
V157,V,15,2.0,"47,57 m²",-,Nedostupný,,47.57,,
V156,V,15,1.0,"34,62 m²",-,Nedostupný,,34.62,,
V155,V,15,3.0,"65,46 m²",-,Nedostupný,,65.46,,
V154,V,15,2.0,"54,99 m²",-,Predaný,,54.99,,
V153,V,15,1.0,"31,22 m²",-,Nedostupný,,31.22,,
V152,V,15,1.0,"30,83 m²",-,Nedostupný,,30.83,,
V151,V,15,2.0,"51,62 m²",273 647 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v151/,51.62,273647.0,5301.18171251453
V148,V,14,3.0,"67,33 m²",-,Nedostupný,,67.33,,
V147,V,14,2.0,"47,83 m²",-,Nedostupný,,47.83,,
V146,V,14,1.0,"34,50 m²",-,Nedostupný,,34.5,,
V145,V,14,3.0,"64,54 m²",-,Nedostupný,,64.54,,
V144,V,14,2.0,"54,38 m²",-,Predaný,,54.38,,
V143,V,14,1.0,"31,05 m²",-,Nedostupný,,31.05,,
V142,V,14,1.0,"31,47 m²",-,Nedostupný,,31.47,,
V141,V,14,2.0,"51,11 m²",-,Predaný,,51.11,,
V138,V,13,3.0,"66,84 m²",-,Nedostupný,,66.84,,
V137,V,13,2.0,"47,44 m²",-,Nedostupný,,47.44,,
V136,V,13,1.0,"34,50 m²",-,Nedostupný,,34.5,,
V135,V,13,3.0,"65,30 m²",-,Predaný,,65.3,,
V134,V,13,2.0,"54,83 m²",-,Predaný,,54.83,,
V133,V,13,1.0,"31,31 m²",-,Nedostupný,,31.31,,
V132,V,13,1.0,"31,21 m²",-,Nedostupný,,31.21,,
